ColumnHeader,Depth,Crop,Irrigation,Block
P3_D110,D110,Lucerne,None,B1
P13_D110,D110,Lucerne,None,B2
P20_D110,D110,Lucerne,None,B3
P30_D110,D110,Lucerne,None,B4
P6_D110,D110,Lucerne,OnePerWeek,B1
P14_D110,D110,Lucerne,OnePerWeek,B2
P22_D110,D110,Lucerne,OnePerWeek,B3
P28_D110,D110,Lucerne,OnePerWeek,B4
P4_D110,D110,Lucerne,ThreeWeekly,B1
P11_D110,D110,Lucerne,ThreeWeekly,B2
P18_D110,D110,Lucerne,ThreeWeekly,B3
P27_D110,D110,Lucerne,ThreeWeekly,B4
P7_D110,D110,Lucerne,TwoPerWeek,B1
P15_D110,D110,Lucerne,TwoPerWeek,B2
P19_D110,D110,Lucerne,TwoPerWeek,B3
P26_D110,D110,Lucerne,TwoPerWeek,B4
P2_D110,D110,Pasture,None,B1
P10_D110,D110,Pasture,None,B2
P24_D110,D110,Pasture,None,B3
P31_D110,D110,Pasture,None,B4
P1_D110,D110,Pasture,OnePerWeek,B1
P16_D110,D110,Pasture,OnePerWeek,B2
P17_D110,D110,Pasture,OnePerWeek,B3
P29_D110,D110,Pasture,OnePerWeek,B4
P5_D110,D110,Pasture,ThreeWeekly,B1
P12_D110,D110,Pasture,ThreeWeekly,B2
P23_D110,D110,Pasture,ThreeWeekly,B3
P32_D110,D110,Pasture,ThreeWeekly,B4
P8_D110,D110,Pasture,TwoPerWeek,B1
P9_D110,D110,Pasture,TwoPerWeek,B2
P21_D110,D110,Pasture,TwoPerWeek,B3
P25_D110,D110,Pasture,TwoPerWeek,B4
P3_D130,D130,Lucerne,None,B1
P13_D130,D130,Lucerne,None,B2
P20_D130,D130,Lucerne,None,B3
P30_D130,D130,Lucerne,None,B4
P6_D130,D130,Lucerne,OnePerWeek,B1
P14_D130,D130,Lucerne,OnePerWeek,B2
P22_D130,D130,Lucerne,OnePerWeek,B3
P28_D130,D130,Lucerne,OnePerWeek,B4
P4_D130,D130,Lucerne,ThreeWeekly,B1
P11_D130,D130,Lucerne,ThreeWeekly,B2
P18_D130,D130,Lucerne,ThreeWeekly,B3
P27_D130,D130,Lucerne,ThreeWeekly,B4
P7_D130,D130,Lucerne,TwoPerWeek,B1
P15_D130,D130,Lucerne,TwoPerWeek,B2
P19_D130,D130,Lucerne,TwoPerWeek,B3
P26_D130,D130,Lucerne,TwoPerWeek,B4
P2_D130,D130,Pasture,None,B1
P10_D130,D130,Pasture,None,B2
P24_D130,D130,Pasture,None,B3
P31_D130,D130,Pasture,None,B4
P1_D130,D130,Pasture,OnePerWeek,B1
P16_D130,D130,Pasture,OnePerWeek,B2
P17_D130,D130,Pasture,OnePerWeek,B3
P29_D130,D130,Pasture,OnePerWeek,B4
P5_D130,D130,Pasture,ThreeWeekly,B1
P12_D130,D130,Pasture,ThreeWeekly,B2
P23_D130,D130,Pasture,ThreeWeekly,B3
P32_D130,D130,Pasture,ThreeWeekly,B4
P8_D130,D130,Pasture,TwoPerWeek,B1
P9_D130,D130,Pasture,TwoPerWeek,B2
P21_D130,D130,Pasture,TwoPerWeek,B3
P25_D130,D130,Pasture,TwoPerWeek,B4
P3_D150,D150,Lucerne,None,B1
P13_D150,D150,Lucerne,None,B2
P20_D150,D150,Lucerne,None,B3
P30_D150,D150,Lucerne,None,B4
P6_D150,D150,Lucerne,OnePerWeek,B1
P14_D150,D150,Lucerne,OnePerWeek,B2
P22_D150,D150,Lucerne,OnePerWeek,B3
P28_D150,D150,Lucerne,OnePerWeek,B4
P4_D150,D150,Lucerne,ThreeWeekly,B1
P11_D150,D150,Lucerne,ThreeWeekly,B2
P18_D150,D150,Lucerne,ThreeWeekly,B3
P27_D150,D150,Lucerne,ThreeWeekly,B4
P7_D150,D150,Lucerne,TwoPerWeek,B1
P15_D150,D150,Lucerne,TwoPerWeek,B2
P19_D150,D150,Lucerne,TwoPerWeek,B3
P26_D150,D150,Lucerne,TwoPerWeek,B4
P2_D150,D150,Pasture,None,B1
P10_D150,D150,Pasture,None,B2
P24_D150,D150,Pasture,None,B3
P31_D150,D150,Pasture,None,B4
P1_D150,D150,Pasture,OnePerWeek,B1
P16_D150,D150,Pasture,OnePerWeek,B2
P17_D150,D150,Pasture,OnePerWeek,B3
P29_D150,D150,Pasture,OnePerWeek,B4
P5_D150,D150,Pasture,ThreeWeekly,B1
P12_D150,D150,Pasture,ThreeWeekly,B2
P23_D150,D150,Pasture,ThreeWeekly,B3
P32_D150,D150,Pasture,ThreeWeekly,B4
P8_D150,D150,Pasture,TwoPerWeek,B1
P9_D150,D150,Pasture,TwoPerWeek,B2
P21_D150,D150,Pasture,TwoPerWeek,B3
P25_D150,D150,Pasture,TwoPerWeek,B4
P3_D30,D30,Lucerne,None,B1
P13_D30,D30,Lucerne,None,B2
P20_D30,D30,Lucerne,None,B3
P30_D30,D30,Lucerne,None,B4
P6_D30,D30,Lucerne,OnePerWeek,B1
P14_D30,D30,Lucerne,OnePerWeek,B2
P22_D30,D30,Lucerne,OnePerWeek,B3
P28_D30,D30,Lucerne,OnePerWeek,B4
P4_D30,D30,Lucerne,ThreeWeekly,B1
P11_D30,D30,Lucerne,ThreeWeekly,B2
P18_D30,D30,Lucerne,ThreeWeekly,B3
P27_D30,D30,Lucerne,ThreeWeekly,B4
P7_D30,D30,Lucerne,TwoPerWeek,B1
P15_D30,D30,Lucerne,TwoPerWeek,B2
P19_D30,D30,Lucerne,TwoPerWeek,B3
P26_D30,D30,Lucerne,TwoPerWeek,B4
P2_D30,D30,Pasture,None,B1
P10_D30,D30,Pasture,None,B2
P24_D30,D30,Pasture,None,B3
P31_D30,D30,Pasture,None,B4
P1_D30,D30,Pasture,OnePerWeek,B1
P16_D30,D30,Pasture,OnePerWeek,B2
P17_D30,D30,Pasture,OnePerWeek,B3
P29_D30,D30,Pasture,OnePerWeek,B4
P5_D30,D30,Pasture,ThreeWeekly,B1
P12_D30,D30,Pasture,ThreeWeekly,B2
P23_D30,D30,Pasture,ThreeWeekly,B3
P32_D30,D30,Pasture,ThreeWeekly,B4
P8_D30,D30,Pasture,TwoPerWeek,B1
P9_D30,D30,Pasture,TwoPerWeek,B2
P21_D30,D30,Pasture,TwoPerWeek,B3
P25_D30,D30,Pasture,TwoPerWeek,B4
P3_D50,D50,Lucerne,None,B1
P13_D50,D50,Lucerne,None,B2
P20_D50,D50,Lucerne,None,B3
P30_D50,D50,Lucerne,None,B4
P6_D50,D50,Lucerne,OnePerWeek,B1
P14_D50,D50,Lucerne,OnePerWeek,B2
P22_D50,D50,Lucerne,OnePerWeek,B3
P28_D50,D50,Lucerne,OnePerWeek,B4
P4_D50,D50,Lucerne,ThreeWeekly,B1
P11_D50,D50,Lucerne,ThreeWeekly,B2
P18_D50,D50,Lucerne,ThreeWeekly,B3
P27_D50,D50,Lucerne,ThreeWeekly,B4
P7_D50,D50,Lucerne,TwoPerWeek,B1
P15_D50,D50,Lucerne,TwoPerWeek,B2
P19_D50,D50,Lucerne,TwoPerWeek,B3
P26_D50,D50,Lucerne,TwoPerWeek,B4
P2_D50,D50,Pasture,None,B1
P10_D50,D50,Pasture,None,B2
P24_D50,D50,Pasture,None,B3
P31_D50,D50,Pasture,None,B4
P1_D50,D50,Pasture,OnePerWeek,B1
P16_D50,D50,Pasture,OnePerWeek,B2
P17_D50,D50,Pasture,OnePerWeek,B3
P29_D50,D50,Pasture,OnePerWeek,B4
P5_D50,D50,Pasture,ThreeWeekly,B1
P12_D50,D50,Pasture,ThreeWeekly,B2
P23_D50,D50,Pasture,ThreeWeekly,B3
P32_D50,D50,Pasture,ThreeWeekly,B4
P8_D50,D50,Pasture,TwoPerWeek,B1
P9_D50,D50,Pasture,TwoPerWeek,B2
P21_D50,D50,Pasture,TwoPerWeek,B3
P25_D50,D50,Pasture,TwoPerWeek,B4
P3_D70,D70,Lucerne,None,B1
P13_D70,D70,Lucerne,None,B2
P20_D70,D70,Lucerne,None,B3
P30_D70,D70,Lucerne,None,B4
P6_D70,D70,Lucerne,OnePerWeek,B1
P14_D70,D70,Lucerne,OnePerWeek,B2
P22_D70,D70,Lucerne,OnePerWeek,B3
P28_D70,D70,Lucerne,OnePerWeek,B4
P4_D70,D70,Lucerne,ThreeWeekly,B1
P11_D70,D70,Lucerne,ThreeWeekly,B2
P18_D70,D70,Lucerne,ThreeWeekly,B3
P27_D70,D70,Lucerne,ThreeWeekly,B4
P7_D70,D70,Lucerne,TwoPerWeek,B1
P15_D70,D70,Lucerne,TwoPerWeek,B2
P19_D70,D70,Lucerne,TwoPerWeek,B3
P26_D70,D70,Lucerne,TwoPerWeek,B4
P2_D70,D70,Pasture,None,B1
P10_D70,D70,Pasture,None,B2
P24_D70,D70,Pasture,None,B3
P31_D70,D70,Pasture,None,B4
P1_D70,D70,Pasture,OnePerWeek,B1
P16_D70,D70,Pasture,OnePerWeek,B2
P17_D70,D70,Pasture,OnePerWeek,B3
P29_D70,D70,Pasture,OnePerWeek,B4
P5_D70,D70,Pasture,ThreeWeekly,B1
P12_D70,D70,Pasture,ThreeWeekly,B2
P23_D70,D70,Pasture,ThreeWeekly,B3
P32_D70,D70,Pasture,ThreeWeekly,B4
P8_D70,D70,Pasture,TwoPerWeek,B1
P9_D70,D70,Pasture,TwoPerWeek,B2
P21_D70,D70,Pasture,TwoPerWeek,B3
P25_D70,D70,Pasture,TwoPerWeek,B4
P3_D90,D90,Lucerne,None,B1
P13_D90,D90,Lucerne,None,B2
P20_D90,D90,Lucerne,None,B3
P30_D90,D90,Lucerne,None,B4
P6_D90,D90,Lucerne,OnePerWeek,B1
P14_D90,D90,Lucerne,OnePerWeek,B2
P22_D90,D90,Lucerne,OnePerWeek,B3
P28_D90,D90,Lucerne,OnePerWeek,B4
P4_D90,D90,Lucerne,ThreeWeekly,B1
P11_D90,D90,Lucerne,ThreeWeekly,B2
P18_D90,D90,Lucerne,ThreeWeekly,B3
P27_D90,D90,Lucerne,ThreeWeekly,B4
P7_D90,D90,Lucerne,TwoPerWeek,B1
P15_D90,D90,Lucerne,TwoPerWeek,B2
P19_D90,D90,Lucerne,TwoPerWeek,B3
P26_D90,D90,Lucerne,TwoPerWeek,B4
P2_D90,D90,Pasture,None,B1
P10_D90,D90,Pasture,None,B2
P24_D90,D90,Pasture,None,B3
P31_D90,D90,Pasture,None,B4
P1_D90,D90,Pasture,OnePerWeek,B1
P16_D90,D90,Pasture,OnePerWeek,B2
P17_D90,D90,Pasture,OnePerWeek,B3
P29_D90,D90,Pasture,OnePerWeek,B4
P5_D90,D90,Pasture,ThreeWeekly,B1
P12_D90,D90,Pasture,ThreeWeekly,B2
P23_D90,D90,Pasture,ThreeWeekly,B3
P32_D90,D90,Pasture,ThreeWeekly,B4
P8_D90,D90,Pasture,TwoPerWeek,B1
P9_D90,D90,Pasture,TwoPerWeek,B2
P21_D90,D90,Pasture,TwoPerWeek,B3
P25_D90,D90,Pasture,TwoPerWeek,B4
